1600,10,Win,Fail
1,9159,110,19265,113,64989,201,46623,80,36255,1
412,22489,29,10462,99,52354,75,16788,141,51318,0
202,114996,113,32428,157,974076,63,266235,57,12012,1
92,73295,38,51775,35,131355,59,14210,15,7843,0
79,147702,37,318280,96,118914,516,8080,134,47435,0
38,11024,157,51934,99,113216,67,43010,24,53224,1
412,131601,161,463029,18,47680,32,45674,8,30870,1
54,95012,15,5403,154,12534,238,3577,63,304539,0
29,262133,63,95043,75,8629,1,63779,164,18283,1
99,95402,516,94827,96,17662,19,71554,12,6571,0
55,176549,19,66561,53,254853,67,186961,77,247044,1
201,36096,120,37181,202,37242,48,6016,38,5810,0
238,11699,31,62817,99,171585,22,46755,59,19547,0
516,15743,67,146601,117,31428,75,13002,90,74406,1
51,120756,412,117722,18,13445,84,128121,77,22832,1
59,32292,20,511895,53,262873,81,207422,39,48346,0
48,421,29,14576,43,101251,53,45304,19,31388,0
18,13877,101,4345,5,6687,117,310135,122,250713,1
64,13174,18,3314,62,78376,98,26868,45,54024,0
412,154774,57,7076,21,53670,69,3049,103,100512,1
64,46474,19,586991,498,130651,57,360075,99,9461,1
113,132591,103,63882,29,19027,17,48430,412,93910,0
25,84211,102,27517,15,13109,103,57407,17,46527,1
18,41169,41,44002,25,20303,154,9926,38,24886,1
20,7989,53,55439,133,537685,81,168535,157,186424,0
102,26133,18,19119,117,118121,236,148707,40,20567,1
245,579702,99,100650,498,99543,120,7944,3,3243,0
267,12762,103,42963,18,20528,59,118364,60,5009,1
157,292288,99,87935,105,5890,516,14670,81,2886,0
37,143891,19,35226,21,416418,17,116385,63,12148,1
420,921,432,33290,67,121950,28,127634,91,2227,0
40,17367,238,24430,120,9210,51,110714,74,48690,1
31,18811,89,302696,161,15368,18,92246,92,22911,1
38,8949,81,19879,141,107116,420,840538,412,1187397,0
96,11607,238,141629,57,13502,53,15007,79,18981,1
120,61728,69,4749,267,9450,67,19079,6,115956,0
64,31318,43,61827,18,214097,10,109619,78,392021,0
119,17389,497,39791,115,40056,141,72972,39,119534,1
202,10142,11,28703,1,50225,150,12334,41,59516,0
236,112934,40,95358,67,46567,58,6479,79,139556,1
31,14805,4,156930,11,456720,18,26870,22,4059,1
